DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	PARIS 11E ARRDT	Sophora	50
Alignement	PARIS 16E ARRDT	Sophora	16,98
Alignement	PARIS 17E ARRDT	Platane	117,89
Alignement	PARIS 8E ARRDT	Marronnier	19,31
Alignement	PARIS 18E ARRDT	Sophora	46,9
Alignement	PARIS 4E ARRDT	Robinier	50
Alignement	PARIS 18E ARRDT	Sophora	62,5
Alignement	PARIS 15E ARRDT	Platane	50
Alignement	PARIS 19E ARRDT	Pommier	27,78
Alignement	PARIS 14E ARRDT	Marronnier	620
Alignement	PARIS 17E ARRDT	Sophora	100
Alignement	PARIS 14E ARRDT	Savonnier	22,73
Alignement	PARIS 13E ARRDT	Troene	31,25
Alignement	PARIS 11E ARRDT	Poirier à fleurs	25
Alignement	PARIS 20E ARRDT	Sophora	42,94
Alignement	PARIS 13E ARRDT	Micocoulier	27,27
Alignement	PARIS 16E ARRDT	Micocoulier	79,17
Alignement	PARIS 15E ARRDT	Erable	4,29
Alignement	PARIS 6E ARRDT	Platane	13,33
Alignement	PARIS 19E ARRDT	Peuplier	43,97
Alignement	PARIS 19E ARRDT	Micocoulier	15
Alignement	PARIS 14E ARRDT	Micocoulier	100
Alignement	PARIS 13E ARRDT	Noisetier de Byzance	8
Alignement	PARIS 16E ARRDT	Platane	197,89
Alignement	PARIS 7E ARRDT	Platane	53,57
Alignement	PARIS 14E ARRDT	Cerisier à fleurs	14,71
Alignement	PARIS 13E ARRDT	Poirier à fleurs	44,21
Alignement	PARIS 20E ARRDT	Robinier	42
Alignement	PARIS 19E ARRDT	Sophora	36,21
Alignement	PARIS 20E ARRDT	Lilas de Perse	24
Alignement	PARIS 16E ARRDT	Sophora	18,18
Alignement	PARIS 16E ARRDT	Platane	15,65
Alignement	PARIS 13E ARRDT	Sophora	100
Alignement	PARIS 16E ARRDT	Erable	62,5
Alignement	PARIS 13E ARRDT	Micocoulier	31,25
Alignement	PARIS 15E ARRDT	Chêne	25,71
Alignement	PARIS 20E ARRDT	Orme	53,33
Alignement	PARIS 14E ARRDT	Frêne à fleurs	17,14
Alignement	PARIS 20E ARRDT	Pommier à fleurs	22,61
Alignement	PARIS 20E ARRDT	Sophora	54
Alignement	PARIS 3E ARRDT	Micocoulier	55,56
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	16,88
Alignement	PARIS 12E ARRDT	Platane	50
Alignement	PARIS 20E ARRDT	Sophora	40
Alignement	PARIS 8E ARRDT	Marronnier	25
Alignement	PARIS 11E ARRDT	Tilleul	44,74
Alignement	PARIS 14E ARRDT	Platane	33,62
Alignement	PARIS 11E ARRDT	Platane	100
